#{"t_start": 1637232726.1839197, "env_id": "PathColav3d-v0"}
r,l,t
-1295.911454,5,9.524388
-1291.86291,3,9.546738
-1142.560789,6,9.583073
-1380.079787,4,9.607925
-1452.337443,3,9.629867
-1338.620321,2,9.642833--1482.484306,5,9.673728-1-1300.266749,5,9.706267-1-1909.724219,4,9.731748-11-1125.057766,6,9.7665--1518.341182,7,9.805458-1-1215.171094,6,9.839724-1-1082.107314,5,9.873445
-1590.23532,4,9.901197
-1897.552674,2,9.915255
-1902.856248,4,9.943413
-1777.251539,5,9.982332
-1196.974858,5,10.014177
-1182.8426,7,10.06196
-1521.076036,5,10.102513
-1037.951466,5,10.140992
-1112.449454,5,10.177097
-1538.687052,6,10.215063
-1481.658615,5,10.253772
-1011.768788,2,10.267677
-1680.989186,5,10.306171
-1231.730105,5,10.344135
-1391.068551,4,10.373299
-1556.687472,4,10.40213
-1387.957909,4,10.432055
-1068.380649,7,10.479124
-1032.351982,2,10.494094
-1987.288029,4,10.520201
-1278.621832,4,10.549083
-1160.943002,4,10.578016
-1562.862237,3,10.600973
-2343.416685,3,10.628443
-1079.986155,8,10.680144
-1804.896212,3,10.705967
-1105.437286,3,10.727823
-2447.350228,5,10.765558
-1082.401705,2,10.77853
-1135.187782,3,10.801432
-1104.78995,4,10.832227
-1284.885422,6,10.875001
-1435.998209,4,10.901925
-1353.672139,4,10.931203
-1083.454351,4,10.961129
-1092.335582,2,10.976883
-1190.522649,4,11.006125
-1404.40222,4,11.033927
-1405.533801,3,11.056416
-1139.455409,5,11.098664
-1216.792478,6,11.156062
-1142.67282,3,11.189811
-1405.982055,7,11.234588
-1073.909182,5,11.269507
-1696.338041,4,11.309206
-1326.603051,5,11.360303
-1165.98428,3,11.394469
-1263.309279,4,11.443524
-2152.656955,4,11.583109
-1235.714642,6,11.834671
-1411.562438,6,11.932644
-1247.091752,4,11.985959
-1103.431214,2,12.014788
-1572.937147,5,12.07535
-1017.960119,5,12.145193
-1276.629241,6,12.205448
-1610.287496,2,12.241402
-1284.851777,3,12.280202
-1635.327616,4,12.306123
-1290.227723,2,12.327067
-2774.955274,3,12.357869
-2017.423448,2,12.37696
-1386.014352,7,12.435772
-1785.384748,5,12.486058
-1601.209071,2,12.505005
-1116.005611,2,12.523949
-1480.228441,5,12.573319
-1058.30477,7,12.633688
-1599.096567,6,12.677216
-1351.751954,4,12.707206
-1073.481514,6,12.747788
-1435.75653,9,12.810234
-1311.674771,5,12.845185
-1534.715142,6,12.894577
-1041.015966,4,12.925313
-1151.285501,3,12.95224
-1031.659008,3,12.991153
-1470.235163,4,13.021016
-1407.353759,4,13.058507
-1059.136248,3,13.077261
-1093.16025,3,13.10361
-1544.206643,3,13.133531
-1273.376295,2,13.149491
-1400.36592,3,13.185529
-1426.79165,4,13.215451
-1006.476902,3,13.24-1000.462341,6,13.26403
-1107.87-1511.540268,6,13.-1677.540888,4,13.33354
-1465.9559-1032.640664,8,13.426564
-1341.713582,3,13-1216.578895,9,13.480065
-1692.117828,6,13.519551
-1085.583045,6,13.572152
-1045.933583,3,13.599891
-1078.973916,10,13.680947
-1246.650663,4,13.712922
-1459.758622,3,13.734496
-2052.44565,3,13.758434
-1488.72-1933.963123,9,13.7-1046.36-1853.755526,5,13.-1059.303-1502.813332,8,13.888282
-1022.206993,3,13.921226
-1668.137983,2,1-1016.82019-1069.505419,3,1-1908.55990-1172.041458,4,14.009432
-1383.654937,5,14.048952
-1103.230182,7,14.109527
-1856.438862,5,14.144938
-1169.415067,5,14.181521
-1330.512942,4,14.215081
-1143.547031,7,14.264898
-1508.102499,3,14.288195
-1341.050227,6,14.327957
-1247.334336,5,14.358695
-1044.640954,4,14.391211
-1014.255367,5,14.476228
-1559.528277,4,14.505347
-1200.627716,6,14.542659
-1369.016931,5,14.573148
-1700.546848,4,14.597206
-1405.492641,7,14.640981
-1115.112784,6,14.682338
-1047.49989,4,14.711625
-1223.349012,6,14.750301
-1769.478792,3,14.771286
-1146.92658,3,14.790953
-2221.528573,4,14.818068
-1133.325596,2,14.834963
-2239.197415,3,14.854446
-1384.324875,6,14.910646
-1072.940284,7,14.972647
17071
-1386.375685,4,14.846946
-1637.164885,5,14.893385
-1004.246085,4,14.931137
-1248.652422,4,14.963446
-1782.50458,5,15.000899
