#{"t_start": 1635490289.2272966, "env_id": "PathColav3d-v0"}
r,l,t
-484.346766,331,6.16644
--3002.554619,1135,12.744835
-1537.405618,743,18.117878
-1074.573888,651,22.64243-14-198.951556,141,23.518283-4-386.189499,239,24.943712-1-2342.182681,1350,34.774821
-1510.556285,582,38.313915
-425.859496,393,41.512899
-619.168787,521,44.547865
-988.275647,936,51.0951
-123.553158,107,51.836094
-149.281965,128,52.605895
-1624.153781,1501,63.362357
-1701.430376,1501,73.213306
-414.089783,415,76.460073
-270.565535,278,78.036278
-1217.464577,1114,85.655145
-1275.661847,1230,96.430777
-195.937201,187,97.878098
-176.406676,158,100.273929
-478.355997,45